,num_parent_commits,merged_from_pull,lines_added,lines_deleted,lines_total,files_total,num_unique_file_formats,combined
1037,1,True,24,16,40,5,2,pass
1038,1,True,73,8,81,4,2,pass
1039,1,True,0,21,21,1,1,pass
1040,1,True,29,20,49,2,1,pass
1041,1,True,55,13,68,1,1,pass
1042,1,True,4,0,4,1,1,pass
1043,1,True,58,0,58,1,1,pass
1044,2,True,19,14,33,1,1,pass
1045,1,True,1,0,1,1,1,pass
1046,2,True,18,14,32,1,1,pass
1047,1,True,1,1,2,1,1,pass
1048,1,True,9,12,21,1,1,pass
1049,1,True,16,9,25,1,1,pass
1050,2,True,3,2,5,2,2,pass
1051,2,True,48,31,79,4,2,pass
1052,1,True,8,3,11,2,2,pass
1053,2,True,4,3,7,2,2,pass
1054,2,True,39,24,63,2,2,pass
1055,2,True,39,24,63,2,2,pass
1056,2,True,6,5,11,2,2,pass
1057,1,True,5,0,5,1,1,fail
1058,2,True,5,4,9,2,2,pass
1060,1,True,5,1,6,1,1,pass
1062,1,True,1,1,2,1,1,pass
1064,1,True,13,2,15,1,1,pass
1066,2,True,0,94,94,2,2,pass
1067,1,True,0,59,59,1,1,pass
1068,1,True,0,35,35,1,1,pass
1069,2,True,2,4,6,1,1,pass
1070,1,True,26,23,49,1,1,pass
1071,1,True,2,4,6,1,1,pass
1072,2,True,1,1,2,1,1,pass
1073,1,True,1,1,2,1,1,pass
1074,2,True,5,92,97,3,1,pass
1075,1,True,1,1,2,1,1,pass
1076,2,True,1,2,3,1,1,pass
1077,2,True,1,1,2,1,1,pass
1078,1,True,1,1,2,1,1,pass
1079,2,True,31,4,35,2,2,fail
1080,1,True,1,1,2,1,1,pass
1081,2,True,1,1,2,1,1,pass
1082,1,True,1,1,2,1,1,pass
1083,1,True,11,1,12,1,1,pass
1084,1,True,20,4,24,1,1,pass
1086,1,True,1,2,3,1,1,pass
1087,1,True,0,2,2,1,1,pass
1088,2,True,5,2,7,3,2,pass
1089,1,True,1,1,2,1,1,pass
1090,1,True,3,0,3,1,1,pass
1091,1,True,1,1,2,1,1,pass
1092,1,True,0,79,79,1,1,pass
